trial_num,direction,cue,response,rt,threshold,imagery_score,nystagmus,vel_post,vel_pre,source,id,direction_num,cue_num,imagery,participant,correct,logrt
0,L,L,1,0.422,-0.3,1,3.872,0.697,-0.58,G028N13,1,1,1,congruent,28,1,-0.8627499649461253
1,L,L,1,4.42,-0.6,1,7.668,1.86,1.16,G028N13,1,1,1,congruent,28,1,1.4861396960896067
2,R,R,0,4.748,0.6,2,6.012,-0.404,1.02,G028N13,1,-1,-1,congruent,28,1,1.5577234767474217
3,L,L,1,5.311,-0.6,1,6.84,3.59,0.319,G028N13,1,1,1,congruent,28,1,1.669780141440262
4,R,R,0,5.357,0.6,2,5.472,0.078,0.488,G028N13,1,-1,-1,congruent,28,1,1.6784041168988233
5,L,R,1,7.521,-0.9,2,5.832,-0.703,0.937,G028N13,1,1,-1,incongruent,28,1,2.017699107844266
6,R,L,0,13.271,1.5,2,7.596,0.412,-0.558,G028N13,1,-1,1,incongruent,28,1,2.585581203455112
7,L,N,1,15.683,-1.8,NA,7.236,3.57,-1.13,G028N13,1,1,0,neutral,28,1,2.7525773231522876
8,L,N,0,1.875,-0.3,NA,5.04,3.21,1.69,G028N13,1,1,0,neutral,28,0,0.6286086594223741
9,R,N,0,22.199,2.4,NA,7.548,-6.3,-14.1,G028N13,1,-1,0,neutral,28,1,3.10004724281863
10,R,L,1,11.282,1.2,0,7.956,-2.4,NA,G028N13,1,-1,1,incongruent,28,0,2.4232085353177846
11,R,R,0,2.532,0.3,2,10.08,-2.19,2.15,G028N13,1,-1,-1,congruent,28,1,0.9290095042819297
12,L,R,0,1.875,-0.3,1,8.82,-0.977,0.161,G028N13,1,1,-1,incongruent,28,0,0.6286086594223741
13,R,N,0,12.012,1.2,NA,7.668,-2.53,-1.63,G028N13,1,-1,0,neutral,28,1,2.485906150121084
14,R,R,0,5.482,0.6,1,6.156,-0.919,-0.055,G028N13,1,-1,-1,congruent,28,1,1.701469997880594
15,L,L,1,8.442,-0.9,2,8.532,0.961,-0.412,G028N13,1,1,1,congruent,28,1,2.133219247360307
16,L,R,1,11.726,-1.2,2,10.548,0.219,1.49,G028N13,1,1,-1,incongruent,28,1,2.4618085985420235
17,L,R,1,10.247,-1.2,1,4.86,2.5,2.48,G028N13,1,1,-1,incongruent,28,1,2.326984979817581
18,L,L,1,4.967,-0.6,1,4.896,3.05,-0.114,G028N13,1,1,1,congruent,28,1,1.6028160361252133
19,R,L,0,7.943,0.9,1,9.684,-1.02,-0.662,G028N13,1,-1,1,incongruent,28,1,2.072291037650995
20,R,N,0,4.7,0.6,NA,9.792,-1.84,0.948,G028N13,1,-1,0,neutral,28,1,1.547562508716013
21,L,N,1,23.674,-2.4,NA,5.94,2.26,-0.098,G028N13,1,1,0,neutral,28,1,3.164377399531702
